year,month,day,day_of_week,temperature,rain,solar,snow,wind,wind_dir,pressure,humidity,cloud
2018,11,3,saturday,14.9,0,13.62,0,2.1,NNW,1022.3,70,3.5
2018,11,4,sunday,14.8,0.0,4.09,0,2.0,NW,1019.7,81,9.8
2018,11,5,monday,18.0,1.5,8.50,0,1.8,NW,1018.6,88,9.3
2018,11,6,tuesday,17.6,35.5,3.41,0,1.9,NNW,1017.7,97,10.0
2018,11,7,wednesday,16.6,0.0,10.44,0,2.8,NNE,1020.2,74,7.5
2018,11,8,thursday,16.9,0.0,10.57,0,2.7,NNW,1021.2,73,7.0
2018,11,9,friday,15.6,7.0,2.23,0,1.8,NW,1016.9,100,10.0
2018,11,10,saturday,18.1,1.5,12.52,0,2.2,NW,1014.4,84,6.3
2018,11,11,sunday,16.3,0,12.01,0,2.0,SSE,1017.0,62,5.0
2018,11,12,monday,15.7,0.5,6.20,0,1.8,NW,1011.5,79,10.0
2018,11,13,tuesday,14.9,1.5,3.23,0,2.7,NNE,1010.2,83,10.0
2018,11,14,wednesday,13.6,0.0,12.32,0,2.7,N,1013.1,60,4.3
2018,11,15,thursday,12.5,0,13.68,0,2.1,NNW,1019.4,60,0.0
2018,11,16,friday,13.0,0,11.09,0,1.9,NW,1018.8,71,7.0
2018,11,17,saturday,14.9,0,12.71,0,2.1,NNE,1013.6,62,6.5
2018,11,18,sunday,13.8,0.0,8.29,0,2.1,NE,1015.6,70,10.0
2018,11,19,monday,13.4,8.5,4.31,0,1.9,N,1011.1,85,10.0
2018,11,20,tuesday,11.3,1.0,10.12,0,2.1,NE,1016.2,70,7.3
